flare_date,flare_longitude,flare_magnitude,flare_class,cme_date,cme_speed,cme_width,peak_flux_10,peak_flux_30,peak_flux_100,SEP
2011-03-07 19:43:00,48,0.000037,M3.7,2011-03-07 20:00:00,2125,360,50.386,5.1853,0.16211,True
2022-08-17 13:26:00,25,0.00002,M2.0,2022-08-17 14:36:34,901,360,0.727388,0.456366,0.428688,False
2021-11-01 00:57:00,48,0.000015,M1.5,2021-11-01 02:00:06,753,274,28.950766,16.265814,7.327305,False
2015-03-09 23:29:00,-39,0.000058,M5.8,2015-03-10 00:00:05,995,360,0.58803,0.23361,0.084903,False
2022-12-01 07:04:00,35,0.00001,M1.0,2022-12-01 07:48:05,813,115,1.109347,0.465356,0.436371,False
2013-06-07 22:32:00,85,0.000059,M5.9,2013-06-07 23:12:12,770,360,0.46763,0.2427,0.0843,False
2012-06-29 09:13:00,-38,0.000022,M2.2,2012-06-29 09:36:05,904,49,0.50358,0.25779,0.10589,False
2023-02-25 18:40:00,42,0.000063,M6.3,2023-02-25 19:24:05,1170,360,58.818619,7.749011,0.362346,True
2014-02-25 00:41:00,-77,0.00049,X4.9,2014-02-25 01:25:00,2147,360,102.64,7.4135,0.94287,True
,,,,2015-10-29 02:36:00,530,202,23.508,9.7599,2.0277,True
2017-09-10 15:35:00,88,0.00082,X8.2,2017-09-10 16:00:00,3163,360,1493.5,444.48,68.128,True
2017-09-04 20:28:00,16,0.000055,M5.5,2017-09-04 20:36:00,1418,360,210.19,2.1547,0.11996,True
2011-05-09 20:42:00,-88,0.0000054,C5.4,2011-05-09 20:57:26,1318,292,0.78776,0.30261,0.11603,False
2012-03-07 01:05:00,-27,0.00013,X1.3,2012-03-07 01:30:24,1825,360,6529.8,753.13,69.272,True
2022-08-19 04:14:00,49,0.000016,M1.6,2022-08-19 04:49:30,832,104,0.727388,0.456366,0.428688,False
2013-05-22 12:30:00,75,0.00005,M5.0,2013-05-22 13:25:00,1466,360,1655.4,124.67,3.5818,True
2022-08-29 16:15:00,95,0.000038,M3.8,2022-08-29 17:00:05,1112,193,27.487036,1.348694,0.40504,False
2022-04-29 07:15:00,39,0.000012,M1.2,2022-04-29 07:36:05,1292,245,4.21171,0.559359,0.50802,False
2012-01-23 03:38:00,20,0.000087,M8.7,2012-01-23 04:00:00,2175,360,6314.1,447.84,2.3859,True
2022-04-17 03:17:00,-73,0.00011,X1.1,2022-04-17 03:48:00,895,209,0.779405,0.558023,0.52639,False
2012-03-05 03:30:00,-58,0.00011,X1.1,2012-03-05 04:00:05,1531,360,6529.8,753.13,69.272,False
2014-12-18 21:41:00,-10,0.000069,M6.9,2014-12-19 01:04:42,1195,360,0.65437,0.33654,0.083624,False
2014-11-07 16:53:00,-35,0.00016,X1.6,2014-11-07 18:08:34,795,293,0.53805,0.24405,0.084659,False
2022-01-18 17:01:00,53,0.000015,M1.5,2022-01-18 17:48:05,1014,153,1.71169,0.620365,0.582385,False
2023-03-06 02:08:00,65,0.000058,M5.8,2023-03-06 03:12:10,873,360,0.382472,0.355472,0.347014,False
2012-07-06 23:01:00,50,0.00011,X1.1,2012-07-06 23:24:00,1828,360,25.241,5.4918,0.36866,True
2012-09-27 23:36:00,26,0.0000037,C3.7,2012-09-28 00:12:00,947,360,28.431,3.2371,0.15892,True
2012-05-17 01:25:00,89,0.000051,M5.1,2012-05-17 01:48:00,1582,360,255.44,123.66,20.445,True
2012-03-13 16:21:00,59,0.000079,M7.9,2012-03-13 17:36:00,1884,360,468.77,64.491,1.8856,True
2012-06-13 11:29:00,-21,0.000012,M1.2,2012-06-13 14:00:00,461,118,0.51461,0.26432,0.10666,False
2014-10-24 07:37:00,5,0.00004,M4.0,2014-10-24 08:00:05,677,96,0.66014,0.57566,0.17971,False
2022-08-18 10:37:00,35,0.000015,M1.5,2022-08-18 11:00:05,1327,360,0.727388,0.456366,0.428688,False
2017-07-14 01:07:00,33,0.000024,M2.4,2017-07-14 01:25:00,1200,360,22.374,1.4441,0.13634,True
2016-07-23 05:00:00,73,0.000076,M7.6,2016-07-23 05:24:05,835,117,0.76933,0.3462,0.11807,False
2021-05-28 22:19:00,68,0.0000094,C9.4,2021-05-28 23:12:00,971,197,15.560695,1.158363,0.618363,True
,,,,2014-01-06 08:00:00,1402,360,42.17,20.069,4.079,True
2012-03-04 10:29:00,-65,0.00002,M2.0,2012-03-04 11:00:07,1306,360,6529.8,753.13,69.272,False
2014-09-10 17:21:00,-5,0.00016,X1.6,2014-09-10 18:00:00,1267,360,126.09,9.7944,1.2485,True
2023-03-04 15:19:00,84,0.000052,M5.2,2023-03-04 15:36:06,933,360,0.382472,0.355472,0.347014,False
2014-11-06 03:32:00,-53,0.000054,M5.4,2014-11-06 04:00:05,641,210,0.53805,0.24405,0.084659,False
2022-05-25 18:12:00,42,0.000013,M1.3,2022-05-25 18:36:05,1134,360,1.091302,0.630447,0.484357,False
2017-09-06 11:53:00,34,0.00093,X9.3,2017-09-06 12:24:00,1571,360,844.38,42.064,0.62467,True
2022-04-20 03:41:00,101,0.00022,X2.2,2022-04-20 04:12:05,1001,139,0.779405,0.558023,0.52639,False
2012-01-27 17:37:00,90,0.00018,X1.8,2012-01-27 18:27:00,2508,360,795.55,155.55,11.88,True
2014-04-18 12:31:00,29,0.000073,M7.3,2014-04-18 13:25:00,1203,360,58.47,6.8519,0.65984,True
2022-04-02 12:56:00,61,0.000039,M3.9,2022-04-02 13:36:00,1433,360,32.182705,8.96671,0.846713,True
2011-08-09 07:48:00,69,0.00069,X6.9,2011-08-09 08:12:00,1610,360,26.919,15.833,2.6732,True
2014-01-07 18:04:00,11,0.00012,X1.2,2014-01-07 18:24:00,1830,360,1026.1,203.7,4.2687,True
2013-06-28 01:36:00,19,0.0000044,C4.4,2013-06-28 02:00:05,1037,360,0.77015,0.27015,0.090233,False
2022-08-27 01:52:00,62,0.000048,M4.8,2022-08-27 02:24:00,1284,360,27.487036,1.348694,0.40504,True
,,,,2012-07-23 02:36:00,2003,360,12.768,6.0823,0.76845,True
2011-08-04 03:41:00,39,0.000093,M9.3,2011-08-04 04:12:00,1315,360,96.379,22.037,1.7984,True
2022-01-20 05:41:00,76,0.000055,M5.5,2022-01-20 06:12:00,1431,211,22.678768,7.164104,1.126116,True
2022-03-28 10:58:00,1,0.00004,M4.0,2022-03-28 12:00:00,702,360,18.683397,7.075072,1.269069,True
2012-07-12 15:37:00,2,0.00014,X1.4,2012-07-12 16:48:00,885,360,96.08,3.4489,0.25117,True
2022-08-30 18:05:00,99,0.000021,M2.1,2022-08-30 18:12:05,1247,360,0.549013,0.418353,0.397353,False
2021-10-28 15:17:00,4,0.0001,X1.0,2021-10-28 15:48:00,1519,360,28.950766,16.265814,7.327305,True
2021-11-02 02:03:00,-3,0.000016,M1.6,2021-11-02 02:48:00,1473,360,28.950766,16.265814,7.327305,False
2014-12-17 04:25:00,-8,0.000087,M8.7,2014-12-17 05:00:05,587,360,0.65437,0.33654,0.083624,False
2011-06-07 06:16:00,53,0.000025,M2.5,2011-06-07 06:49:00,1255,360,72.866,25.841,4.5281,True
2014-08-01 18:00:00,-13,0.000015,M1.5,2014-08-01 18:36:05,789,360,0.63617,0.54321,0.14324,False
2013-09-29 21:43:00,33,0.0000012,C1.2,2013-09-29 22:12:00,1179,360,181.81,8.573,0.18026,True
2013-04-11 06:55:00,-12,0.000065,M6.5,2013-04-11 07:24:00,861,360,113.55,23.328,2.0297,True
